Name,Isin,YahooTicker,Market,Net_Income_2021,FCF_2021,Op_Margin_2021,ROE_2021,Debt_Equity_2021,PER_2021,ROIC_2021,Net_Margin_2021,EPS_2021,Perf_2021,Price_per_share_2021,Net_Income_2022,FCF_2022,Op_Margin_2022,ROE_2022,Debt_Equity_2022,PER_2022,ROIC_2022,Net_Margin_2022,EPS_2022,Perf_2022,Price_per_share_2022,Net_Income_2023,FCF_2023,Op_Margin_2023,ROE_2023,Debt_Equity_2023,PER_2023,ROIC_2023,Net_Margin_2023,EPS_2023,Perf_2023,Price_per_share_2023,Net_Income_2024,FCF_2024,Op_Margin_2024,ROE_2024,Debt_Equity_2024,PER_2024,ROIC_2024,Net_Margin_2024,EPS_2024,Perf_2024,Price_per_share_2024,Price_per_share_2025
AIRTHINGS,NO0010895568,AIRX.OL,Oslo Børs,-7261000.0,-16948000.0,-0.28,-0.11,0.07,-266.5,-0.1043480729,-0.215645511,-0.04,-0.2626666387,10.2475,-10566000.0,-24655000.0,-0.37,-0.21,0.07,-95.19,-0.2043187787,-0.2982723577,-0.06,-0.6800000017,3.73125,-6258000.0,-5173000.0,-0.23,-0.12,0.08,-98.83,-0.117942729,-0.1710209882,-0.03,-0.2083333574,3.05375,-17690000.0,-3216000.0,-0.29,-0.62,0.11,-31.12,-0.2982460574,-0.4595282627,-0.09,-0.2257002181,2.38,0.129
AIRWELL,FR0014003V77,ALAIR.PA,Euronext Growth Paris,1131244.0,502657.0,0.05,0.81,4.62,15.06,0.1638942566,0.02875811736,0.26,0.01388894224,3.7225,1042882.0,307143.0,0.03,0.27,0.98,15.94,0.1443502469,0.01870910206,0.22,-0.1406249932,3.3,1430945.0,-7429723.0,0.04,0.13,0.71,20.82,0.09422940405,0.02200200003,0.24,0.1611110942,3.985,-1708444.0,-1501689.0,-0.03,-0.19,0.82,-13.31,-0.08313662738,-0.03374212845,-0.28,-0.6620370416,1.535,1.30625
AIXTRON,DE000A0WMPJ6,AIXA.DE,Euronext Global Equity Market,95660000.0,48918000.0,0.23,0.16,0.01,21.78,0.1606547036,0.2230075952,0.85,0.2562969837,16.478749999999998,100437000.0,7477000.0,0.22,0.15,0.01,25.57,0.152028895,0.2168483506,0.89,0.47353825,27.5785,145185000.0,-109934000.0,0.24,0.19,0.01,23.01,0.1870127909,0.2304966509,1.29,0.4287189795,36.762,106283000.0,-72474000.0,0.21,0.13,0.01,22.44,0.125719073,0.1678614692,0.94,-0.5811017196,14.60125,17.658749999999998
AJAX,NL0000018034,AJAX.AS,Euronext Amsterdam,-8057000.0,-17915000.0,-0.86,-0.04,0.66,-34.31,-0.0297906283,-0.07398259017,-0.44,-0.07512632295,14.6275,-24320000.0,-206000.0,-0.35,-0.12,0.74,-9.42,-0.1110558078,-0.1319809626,-1.33,-0.2585034169,10.983250000000002,38975000.0,-20962000.0,-0.29,0.16,0.44,5.1,0.1791575455,0.2066126655,2.13,-0.06386276031,10.3825,-9751000.0,-19095000.0,-0.61,-0.04,0.48,-19.31,-0.01870441198,-0.06606144778,-0.53,-0.05812800208,9.924999999999999,8.98
AKASTOR,NO0010215684,AKAST.OL,Oslo Børs,919000000.0,-232000000.0,0.1,0.22,0.38,1.67,-0.0150283675,1.006571742,3.38,-0.2446958994,4.9235,-276000000.0,-255000000.0,0.11,-0.07,0.35,-7.85,-0.02937182813,-1.033707865,-1.01,0.7330824826,8.491249999999999,-264000000.0,-309000000.0,-0.16,-0.07,0.35,-10.69,-0.0383967035,-0.9850746269,-0.97,0.2483939012,10.85925,1653000000.0,1630000000.0,0.67,0.28,0.07,2.04,0.2780036977,1.792841649,6.08,0.1486724722,12.0785,11.159999999999998
AKER,NO0010234552,AKER.OL,Oslo Børs,4242000000.0,-4079000000.0,-0.11,0.15,1.15,10.0,0.02328752335,0.7470940472,57.11,0.4773049547,679.09625,14177000000.0,-7471000000.0,1.16,0.32,0.81,3.39,0.1004340937,1.467598344,190.83,-0.1112523927,623.0525,3235000000.0,-1646000000.0,-0.59,0.07,0.68,13.42,0.0116598634,0.5573742247,43.54,-0.04449064239,589.5,7197000000.0,7660000000.0,0.06,0.14,0.72,5.68,0.05302515393,0.5890971597,96.86,-0.1472130655,513.7950000000001,757.25
AKER BIOMARINE,NO0010886625,AKBM.OL,Oslo Børs,-8000000.0,-78500000.0,-0.06,-0.02,0.88,-455.57,0.006913959614,-0.03052270126,-0.09,-0.5187876786,28.951,10000000.0,-31000000.0,0.07,0.03,1.01,237.53,0.03554756373,0.03607503608,0.11,-0.2927509397,20.114250000000002,-9000000.0,-1900000.0,-0.05,-0.02,1.07,-219.31,-0.01680448119,-0.04584819154,-0.1,0.1660329006,24.23,180300000.0,-10900000.0,-0.04,1.04,0.85,21.49,-0.03748739031,0.9060301508,2.07,1.689793362,65.69999999999999,90.225
AKER BP,NO0010345853,AKRBP.OL,Oslo Børs,827928000.0,2727814000.0,0.59,0.38,1.69,77.65,0.3913783359,0.146796005,2.3,0.3224931939,202.20875,1602900000.0,3897700000.0,0.76,0.13,0.44,73.54,0.3749767037,0.1242924272,3.23,0.1510621512,225.78975,1335700000.0,1996900000.0,0.71,0.11,0.53,104.11,0.366587465,0.09835787923,2.12,0.0232180402,240.87175,1827700000.0,1310200000.0,0.68,0.14,0.64,75.23,0.3024167057,0.149288964,2.9,-0.1782696255,196.78625,248.7
AKER HORIZONS,NO0010921232,AKH.OL,Oslo Børs,-1951000000.0,-5174000000.0,-1.54,-0.34,3.18,-9.81,-0.05795966531,-1.988786952,-3.199729,-0.2489773143,32.58375,-2633000000.0,-6729000000.0,-1.29,-0.37,2.91,-4.39,-0.169624949,-1.110501898,-4.03,-0.6198968092,13.5275,-4479000000.0,-2758000000.0,-1.15,-1.92,7.83,-1.16,-0.2001745598,-2.191291585,-6.49,-0.6819277077,4.7255,-318000000.0,-1405000000.0,-0.37,-0.14,9.23,-6.42,-0.07703355529,-0.1253448955,-0.46,-0.4264990596,2.2140000000000004,0.4345
AKER SOLUTIONS,NO0010716582,AKSO.OL,Oslo Børs,254000000.0,2437000000.0,0.02,0.03,0.91,27.68,0.06644917582,0.008700119884,0.52,0.4432096787,18.96,1179000000.0,3898000000.0,0.0,0.13,0.59,11.04,0.01753360608,0.04318364955,2.42,0.6406926623,29.982000000000003,11637000000.0,3995000000.0,0.0,0.61,0.19,1.45,0.01265656936,0.3243220646,23.81,0.1293489547,34.55575,2656000000.0,1660000000.0,0.05,0.24,0.3,6.68,0.2542844531,0.05088025134,5.51,-0.2249596317,27.87725,30.795
