Name,ISIN,Sector,Market,Currency,Industry
BAM GROEP KON,NL0000337319,Industrials,Euronext Amsterdam,EUR,Engineering & Construction
BANCA GENERALI,IT0001031084,Financial Services,Euronext Milan,EUR,Banks - Regional
BANCA IFIS,IT0003188064,Financial Services,Euronext Milan,EUR,Banks - Regional
BANCA MEDIOLANUM,IT0004776628,Financial Services,Trading After Hours,EUR,Banks - Regional
BANCA MPS,IT0005508921,Financial Services,Trading After Hours,EUR,Banks - Regional
BANCA SISTEMA,IT0003173629,Financial Services,Euronext Milan,EUR,Banks - Regional
BANCO BPM,IT0005218380,Financial Services,Trading After Hours,EUR,Banks - Regional
BANCO DE SABADELL,ES0113860A34,Financial Services,Trading After Hours,EUR,Banks - Diversified
BANCO SANTANDER,ES0113900J37,Financial Services,Euronext Global Equity Market,EUR,Banks - Diversified
BANIJAY GROUP,NL0015000X07,Communication Services,Euronext Amsterdam,EUR,Entertainment
BANIJAY GROUP WARR,NL0015000H56,,Euronext Amsterdam,EUR,
BANIMMO A,BE0003870871,Real Estate,Euronext Brussels,EUR,Real Estate - Development
BANK OF IRELAND GP,IE00BD1RP616,Financial Services,Euronext Dublin,EUR,Banks - Regional
Bankinter,ES0113679I37,Financial Services,Euronext Global Equity Market,EUR,Banks - Regional
BANQUP GROUP,BE0974371032,Technology,Euronext Brussels,EUR,Software - Application
BARBARA BUI,FR0000062788,Consumer Cyclical,Euronext Paris,EUR,Apparel Manufacturing
BARCO,BE0974362940,Technology,Trading After Hours,EUR,Electronic Components
BARINGS CORE SPAIN,ES0105362000,,Euronext Access Paris,EUR,
BARRY CALLEBAUT,CH0009002962,Consumer Defensive,Euronext Global Equity Market,EUR,Confectioners
BASF,DE000BASF111,Basic Materials,Trading After Hours,EUR,Chemicals
BASIC-FIT,NL0011872650,Consumer Cyclical,Trading After Hours,EUR,Leisure
BASICNET,IT0001033700,Consumer Cyclical,Euronext Milan,EUR,Apparel Retail
BASSAC,FR0004023208,Real Estate,Euronext Paris,EUR,Real Estate - Development
BASTIDE LE CONFORT,FR0000035370,Healthcare,Euronext Paris,EUR,Medical Distribution
BASTOGI SPA,IT0004412497,Industrials,Euronext Milan,EUR,Specialty Business Services
BAWAG Group,AT0000BAWAG2,Financial Services,Euronext Global Equity Market,EUR,Banks - Regional
BAYER,DE000BAY0017,Healthcare,EuroTLX,EUR,Drug Manufacturers - General
BBVA,ES0113211835,Financial Services,EuroTLX,EUR,Banks - Diversified
